INDEX,YDS,UK-tech,UK-adj,FR,UIAA,SAXON,AU,SA,FIN,NO,BR,PO,V,FONT
1,3/4,1,M,1,I,I,1/2,1/2,1,1,I,I,1,VB-
2,5,1/2,M,1+,I+,I+,3/4,3/4,1+,1+,I sup,I+,1,VB-
3,5.1,2,M/D,2,II,II,5/6,5/6,2,2,II,II,1/2,VB-
4,5.2,2/3,D,2+,II+,II+,7,7,2+,2+,II sup,II+,2,VB-
5,5.3,3,D/VD,3,III,III,8/9,8/9,3,3,II sup,III,2,VB-
6,5.4,3-4a,VD,4a,IV,IV,10,10,3+,3+,III,IV,2/3,VB
7,5.5,4a,S,4b,IV+/V−,V,11/12,11/12,4,4,III sup,IV/IV+,3,VB
8,5.6,4b,HS,4c,V,VI,13,13,4+,4+,IV,IV+,3,VB
9,5.7,4c,VS,5a,V+,VI,14/15,14/15,5-,5-,IV,V−,3A,VB
10,5.8,4c/5a,HVS,5b,VI−,VIIa,16,16,5,5,IV sup,V,3B,V0-
11,5.9,5a,HVS,5c,VI,VIIb,17,17/18,5+,5+,V,V+,3C,V0
12,5.10a,5a/5b,E1,6a,VI+,VIIc,18,19,5+/6-,6-,V,VI,4A,V0+
13,5.10b,5b,E1/E2,6a+,VII−,VIIc,19,20,6-,6-/6,Vsup,VI+,4B,V0+
14,5.10c,5b/5c,E2,6b,VII,VIIIa,20,21,6,6,VI,VI.1,4C,V1
15,5.10d,5c,E2/E3,6b+,VII+,VIIIb,20,22,6/6+,6+,VI sup,VI.1+,5A,V1+
16,5.11a,5c,E3,6c,VIII-,VIIIc,21,22,6+,7-,7a,VI.2,5B,V2
17,5.11b,5c/6a,E3/E4,6c/6c+,VIII-,VIIIc,22,23,6+/7-,7,7b,VI.2+,5C,V2+
18,5.11c,6a,E4,6c+,VIII-,IXa,23,24,7-,7/7+,7c,VI.2+,6A,V3
19,5.11d,6a,E4/E5,7a,VIII,IXb,23,25,7,7+,7c/8a,VI.3,6A+,V3+
20,5.12a,6a/6b,E5,7a+,VIII+,IXc,24,26,7+,7+/8-,8a,VI.3+,6B/6B+,V4
21,5.12b,6b,E5/E6,7b,VIII+/IX-,IXc,25,27,8-,8-,8b,VI.4,6C/6C+,V5
22,5.12c,6b,E6,7b+,IX-,Xa,26,28,8,8,8c,VI.4,7A,V6
23,5.12d,6b/6c,E6,7c,IX,Xb,27,29,8+,8/8+,9a,VI.4+,7A+,V7
24,5.13a,6c,E6/E7,7c+,IX+,Xc,28,30,9-,8+,9b,VI.5,7B,V8
25,5.13b,6c/7a,E7,8a,X-,XIa,29,31,9,9-,9c,VI.5+,7B+,V8+
26,5.13c,7a,E7/E8,8a+,X-,XIa,30,32,9+,9-/9,10a,VI.5+,7C,V9
27,5.13d,7a,E8,8b,X,XIb,31,33,10−,9,10b,VI.6,7C+,V10
28,5.14a,7a/7b,E8/E9,8b+,X+,XIc,32,34,10,9/9+,10c,VI.6+,8A,V11
29,5.14b,7b,E9,8c,XI-,XIIa,33,35,10+,9+,11a,VI.7,8A+,V12
30,5.14c,> 7b,E9/E10,8c+,XI,XIIb,34,36,11-,10-,11b,VI.7+,8B,V13
31,5.14d,> 7b,E10,9a,XI+,XIIc,35,37,11,10,11c,VI.8,8B+,V14
32,5.15a,> 7b,E11,9a+,XII-,XIIIa,36,38,11+,10/10+,12a,VI.8+,8C,V15
33,5.15b,> 7b,> E11,9b,XII-,XIIIa,37,39,12-,10+,12b,VI.8+,8C+,V16
34,5.15c,> 7b,> E11,9b+,XII,XIIIb,38,40,12,11-,12c,VI.9,9A,V17
35,5.15d,> 7b,> E11,9c,XII+,XIIIc,39,41,12+,11,13a,VI.9+,9A+,V18
